device
F6 Plus
F6 Pro
F6J
F7
F7C
F9
F95
FC1
FC2
FIT GO
R1
FLASHGEN2BT
FM ONE MAX
FM PRO S
FM PRO X
FM SOUL
FM SP U
FM SP ULTRA
FM U
FM U MAX
FM U PLUS
FT1
FT1-1
FUT88
FW37
FW47
FW53
FW56
FWA10
FWA11
FWA24
FXR 2
FXR 3
FXS 2
FXS 2s
FXS 3
FXS 3s
Faster NERV Pro
FireBoltt
FireBoltt 094
FireBoltt 151
FireBoltt 174
FireBoltt 175
FireBoltt 179
FireBoltt 186
FireBoltt 187
FireBoltt 210
FireBoltt FBL08
Fit-S
FitRist Icon 2E
FitShot Curl
FitShot Ease
FitShot Zest
Fitme Spectre
G-FORCE SMART
G-Stayer
G10 Professional
G16
G26
G3
G3 Pro
G30
G4
G5 MAX
G5 TALK
G7 Talk PRO
G9 Signature
GARETT_V10
GARETT_V12
GEKO WATCH R
GEKO WATCH S
GEN 9SE
GEN 9X
GENESISPRO_
GF010
GF03Pro
GF07
GF07-01
GF08
GF09
GF09-01
GIZFIT 910 PRO
GIZFIT 953
GIZFT 910 PRO
GK-S30A
GL-3
GLORYPRO_
GOALTAGE-SW03
GRC-STYLE
GRC_CLASSIC
GRC_FENIX
GRC_LITE
GRC_LIVE
GRC_LIVE_G
GRC_MAXX
GRC_STYLE
GRC_WAY
GSW-1020
GT WATCH PLUS
GT-03
GT-M5
GT-S1
GT-S4
GT-V2H
GT01_LE
GT02
GT03
GT04_LE
GT5
GT9
GW60
GX-2
Gizmore 934
Gizmore 953
Gizmore 966
Gizmore PRIME
Gizmore Vogue
Go
Go 2
GreyBand Horizon
H-WATCH
H56
H9
HAYLOU Watch R8
HAYLOU WATCH
HAYLOU Watch S8
HK--CSS
HK21
HK26
HK27
HK39
HK4
HK40
HK48
HK85
HK87K
HK89
HK8Ultra
HK90
HK95
HK98
HK9PRO
HML Snore Stopper
HOCO GA10
HOCO Y10 Pro
HOCO Y15
HONG KONG
HORIZON
HS2000
HS2001
HS2002
HS4_LE
HT12
HUFit1
HUFit2
HUFit3_LE
HUFit4
HUFit5
HUFit6
HVT02
HW22 Pro_LE
HW33
HX 4Pro
HX-H08
HX02 mini
HX03
HX04
HX05
HX08
HX08-S
HX09
HX10
HX12
HX8
HX8 Ultra
HY-J05
Hammer Luxor
Hapipola Curve
HearFit REX
HiMate
HiWave
IGNITE PRO
IGNITE-S2
IK-W55
IK-WSBB9
IML
IMS-754
IMS-755
IMS-756
IMS-757
IMS-758
ION
IS07
IS08
IS10
IT Watch WR01
ITIME
Ignite S3
Infinity
JETE-AM1
JETE-AM2
JETE-AM3
JETE-AURA
JETE-FR11
JETE-FR12
JETE-FR21
JETE-FR22
JETE-MUSE
JM ITOUCH Air 4
JOVIAL
JR-
JR-FC1
JR-FC2
JR-FT1
JR-FT5
JR-FT6
JX520C
JX521C
JX621
JX621D
JX623
JX624C
JX624F
JX627
JX639C
JX683
JX695
JX696
JX943
JX946C
JX951C
JXJS-AM01
K9
K900 Ultra
K96
K98
K99
KESSARIS
KODAK201-2
KODAK203
KODAK204
KODAK205
KODAK209
KODAK210
KONKA WB10
KRONOS ELITE
KRONOS EVOLUTION
KRONOS OPTIMUM
KRONOS PRIME
KRONOS SPORT
KRONOS ULTIMATE
KSIX CORE
KU1 Pro
KUBE
KUBE Pro
KUBE V2
KUMI GW6
KUMI K17
KUMI KU1
KUMI KU1PRO
KUMI KU1S
KUMI KU7
Kata AM10
Kata AM10_Gold
Kata Smartwatch AM10
Kessaris
Kronos X1
Kronos X2
Kronos X4
Kufone M80
L1
L2
L8_LE
L9_LE
LANE
LCDLC WATCH
LEADER
LG19
LG19T
LINSAY EX-10L
LINSAY EX-11L
LONDRA
LUNAR TIGON
LUNARCOMET_
LUNARMIRAGE
LUNARSEEK_
LUNARSPACEBT
LUNARVELOCITY_
LUNARVISTA
Lema
Lunar Link
Lunar Peak
Lunar Space
M WATCH
M-GPS WATCH
M-Watch C
M-Watch S
M1
M3
M4_LE
M5
M5C-GPS WATCH
M5S_LE
M5_LE
M6
M7 Pro
M7_LE
M8 Pro
M9014
M9015
M9016 Pro
M9016_LE
M9019G
M9030
M9030 Pro
M9039
MAREA 31
MAREA 32
MAREA 33
MAX11
MC-GPSWATCH_LE
MC11
MERCURY_
MH 75
MI 10
MI 10 Pro
MIAMI
MILANO
MILANO OLED
MK09
MOJU J12
MOJU M8
MOTIVO
MS-GPSWATCH_LE
MS01
MS02
MT05A_LE
MT37
MTS028_LE
Madvell Talon
ManCity
MetaNebulas
Michelin_LE
Mixx S1
Monster ET1
Motive 5 Pro
Motive 5 pro
Motive 5T
Motive 5pro
Motive 6 GT
Motive 6 Pro
Motive 6C Pro
Motive 7
Motive 7C
Motive 7E
Motive 7S
Motive 8
Motive 8 Ultra
Motive 9
Motive 9 Pro
N61
NEW YORK
NINJA PRO
NK36
NWF18PRO
NWF5
NWF6
NY58
Neo
NoiseFit Buzz
OA300
OA88
OA88S
OA89
OLIKE OW-W2
OLIKE OW-W4
OMT E-Joy SE
OPTIMA
OT-F2
OT-R3
OT-R4
OT-RL
Outdoor Watch
P270
P280
P8 Pro_LE
P8 ULTRA
PA87
PA89
PALL S ONE PLUS
PARIGI
PB Z3
PB Z5
PBL Dare
PBL Luxe 3
PFB Dare
PHANTOM
PLAYFIT SW71
PLUTO SW250
POLAR SW300
POWER G1
PRIMIACELESTIAL
PRIMIA_
PT1
PT2
PW12
PW13
PW16
Parlent
Phonemax Watch1
Polartec POLS11
Pro
ProWatch-B18
ProWatch-M18
Q3
QCY Watch GT2
QD36
QOR9 TICKTALK
QUID Plus
QUO Plus
R1
R1 MAX
R1 pro
R10
R10 Pro
R10J
R11
R11S
R12
R13
R1301
R1391
R1431
R15
R1501
R1502
R1521
R1522
R1523
R16
R17
R18J
R20
R21
R22
R23
R2_LE
R3
R3 Pro
R3H
R4
R4-T
R5
R5-T
R6
R6 Pro
R6pro
R7
R7J
R8
R9
R9 AMOLED
R9 MAX
R9 ultra max
R9J
R9max
RC08
RIRO W1Pro
RIRO WATCH W1
RIRO WATCH W1 SE
RIRO WATCH W1P
RIRO WATCH W2
RIRO WATCH W2 SE
RIRO WATCH W3
RIRO WATCH W5
RIZTO R11
RNCF10
RNCF11
ROCK 31
ROMA
RONIN WATCH R-012
RS-9188
RTER
Redlemon BT
Redlemon BT_LE
Reloj M9014
Rhine 1
Rizto R10
Rizto R15
Rizto R19
Rizto R20
Roam 4
Romance
S1
S1 Pro
S12 Ultra MAX
S13 Ultra MAX
S14 Ultra MAX
S1833
S1835
S1836
S1836A
S1912A
S1916
S1961A
S1968
S2
S2011
S2011A
S2012
S2016
S2_LE
S3
S3 PRO
S35P
S5
S5 PRO
S55
S59MAX
S59MAX Watch
S80 PRO
S80K
S82_LE
S99
SB-305
SBT-1
SBT-2
SBT-X
SD-2
SECTOR S-01
SECTOR S-03 PRO
SEEKEN GRAVITY 2
SEEKEN GRAVITY N
SENS5
SF Lite
SH23
SIA-WOOH1
SK24
SK29
SK30
SK4Max
SMA-F1RT
SMA-F2
SMA-Q3
SMA-R4
SMA-R5
SOUYIE L1
SPACEFIT_
SPECTRE AMO
SPETRA Arc
SPORTY 1
SPUNK
SPUNK PRO
SSW-004
SSW001
SSW002
ST AM05
ST R11
STORM U
SW SPORT
SW-03
SW-2 PRO
SW-2 Ultra
SW-21V PRO
SW-2P
SW-2U
SW-700
SW-GIA102 PRO
SW-GTR9
SW-WIA102 PRO
SW01 Ultra
SW07C
SW203
SW250
SW300
SW37_LE
SWIM 40
SWIM 50
SX24 Pro_LE
SY04
SY05
SYSKA PROXIMA SW350
Salpido SW-66
Seeken Gravity
Senturon
Shaaimu Evolve
Skyfit- Elevate
Smart Watch
SmartX Mini
SmartX03
Sones ISW-12U
Spark Watch V1
Spark watch
Synjones
T-ROUND2
T-fit 400 C
T18_K
T30_K
T68
T78
T80_LE
T88 Pro_LE
T88_LE
T9
T95 Pro
T97
TC002
TCRD_TBW1
TCRD_TGW1_LE
TEMPUS SW70.3
TGP78
THORTON #Geni
THORTON #Klok
TICK-R1A
TICK-WSWD
TICK-WSWE
TIME
TK78G
TM09
TM10
TOUCHMATE_500
TRXF-001
TRXF-002
ΤΤO8
ΤΧ_WA10V1_
ΤX_WA3V1_
TX_WA9V1
TYME ELITE
TYME JEWL
Tai8promax
Tempo 4R
The Outdoor Watch
Thull TW1
Thull TW2
Thull TW3
Trail Force Watch
U8
UBON SW 81
ULTIMAVOGUE_
ULTRA MAX
UM88
UP! S. Slim
UP! S.Slim
UP! Smart Active
UP! Smart Connect_LE
Ultra Pro Max
Urban 2X
Urban 3 pro
Urban 4X
Urban 6X
Urban 8X
Urban3 pro
V1
V2
V61
V61_DR
V62
V63
V6H
V8
V8 Pro
V8_LE
V92
VIDIVE-SW1603
VIDVIE-SW1603
Veryfit V1 Ultra
W-01
W-Round
W102
W111
W112
W112 Plus
W113
W113 PRO
W15
W16
W17
W34 Pro MAX
W35 Pro MAX
W37 Pro MAX
W68 ULTRA
W77 Pro MAX
W9
WATCH 13
WAVE VAST
WAVEFURYBT
WELEVATEBT
WGENESISBT
WGLORYBT
WS001
Watch 4
Watch A1
Watch Ultra
Watch3 Pro
Watch5 Pro
Wave Hype
Wave Vivid
X-AGE ARC
X-AGE BUZZ
X-AGE CLICK
X-Level X-WearSmart
X-Level X-WearUltra
X2
X29
X7
X700
X83
XO-J5
XO-J6
XO-J8
XO-J9
Y1
Y2
Y3
Y96
YF120
YH03
YH04
YH08
YH10
YH11
YH12
YH15
ZERO PRO
ZEST FIT
ZEST PRO
ZEUS 2 PRO
ZH02
Zboank-R4
Zeb-Force
Zeb-Hydra
Zeb-Mamba
Zeb-Winter
Zewa AT3
Zewa SW1
aigo GTS1
aigo GTV2
aigo v6
aigo v8
aigo-V2
alt GOAT_ Phone
alt Woke
beatXP Marv Aura
beatXP Raze
beatXP Sigma
beatXP Unbound Neo
beatXP Vega X
beatXP nuke
beatXP vector
bfit
buzz Watch PRO
buzz Watch S1
buzz Watch S2
d:smart
dv06Pro
eDiary Watch 1
i-Watch Classic
i-Watch S2
i-Watch Sport
¡TIME F3 pro
iTOUCH Air 4
ITOUCH Sport 4
ITOUCH Sport 4 SE
iTechGladiator2
infinity
magnus
mibro ultra 8
muWATCH1
myPhone Watch LS
smart time
smawatch
sportaland-X1
twhite one
ultra k8
v6
v8
watch 10
watch 11
